2019.02.19-13:15:01 SERIES 5
2019.02.19-13:15:01 5-100-1.dcm to 5-100-1.dcm.gz 
2019.02.19-13:15:01 5-101-1.dcm to 5-101-1.dcm.gz 
2019.02.19-13:15:01 5-10-1.dcm to 5-10-1.dcm.gz 
2019.02.19-13:15:01 5-102-1.dcm to 5-102-1.dcm.gz 
2019.02.19-13:15:01 5-103-1.dcm to 5-103-1.dcm.gz 
2019.02.19-13:15:01 5-104-1.dcm to 5-104-1.dcm.gz 
2019.02.19-13:15:01 5-105-1.dcm to 5-105-1.dcm.gz 
2019.02.19-13:15:01 5-106-1.dcm to 5-106-1.dcm.gz 
2019.02.19-13:15:01 5-107-1.dcm to 5-107-1.dcm.gz 
2019.02.19-13:15:01 5-108-1.dcm to 5-108-1.dcm.gz 
2019.02.19-13:15:01 5-109-1.dcm to 5-109-1.dcm.gz 
2019.02.19-13:15:01 5-110-1.dcm to 5-110-1.dcm.gz 
2019.02.19-13:15:01 5-111-1.dcm to 5-111-1.dcm.gz 
2019.02.19-13:15:01 5-11-1.dcm to 5-11-1.dcm.gz 
2019.02.19-13:15:01 5-112-1.dcm to 5-112-1.dcm.gz 
2019.02.19-13:15:01 5-113-1.dcm to 5-113-1.dcm.gz 
2019.02.19-13:15:01 5-114-1.dcm to 5-114-1.dcm.gz 
2019.02.19-13:15:01 5-115-1.dcm to 5-115-1.dcm.gz 
2019.02.19-13:15:01 5-116-1.dcm to 5-116-1.dcm.gz 
2019.02.19-13:15:01 5-117-1.dcm to 5-117-1.dcm.gz 
2019.02.19-13:15:01 5-118-1.dcm to 5-118-1.dcm.gz 
2019.02.19-13:15:01 5-119-1.dcm to 5-119-1.dcm.gz 
2019.02.19-13:15:01 5-1-1.dcm to 5-1-1.dcm.gz 
2019.02.19-13:15:01 5-120-1.dcm to 5-120-1.dcm.gz 
2019.02.19-13:15:01 5-121-1.dcm to 5-121-1.dcm.gz 
2019.02.19-13:15:01 5-12-1.dcm to 5-12-1.dcm.gz 
2019.02.19-13:15:01 5-122-1.dcm to 5-122-1.dcm.gz 
2019.02.19-13:15:01 5-123-1.dcm to 5-123-1.dcm.gz 
2019.02.19-13:15:01 5-124-1.dcm to 5-124-1.dcm.gz 
2019.02.19-13:15:01 5-125-1.dcm to 5-125-1.dcm.gz 
2019.02.19-13:15:01 5-126-1.dcm to 5-126-1.dcm.gz 
2019.02.19-13:15:01 5-127-1.dcm to 5-127-1.dcm.gz 
2019.02.19-13:15:01 5-128-1.dcm to 5-128-1.dcm.gz 
2019.02.19-13:15:01 5-129-1.dcm to 5-129-1.dcm.gz 
2019.02.19-13:15:01 5-130-1.dcm to 5-130-1.dcm.gz 
2019.02.19-13:15:01 5-131-1.dcm to 5-131-1.dcm.gz 
2019.02.19-13:15:01 5-13-1.dcm to 5-13-1.dcm.gz 
2019.02.19-13:15:01 5-132-1.dcm to 5-132-1.dcm.gz 
2019.02.19-13:15:01 5-133-1.dcm to 5-133-1.dcm.gz 
2019.02.19-13:15:01 5-134-1.dcm to 5-134-1.dcm.gz 
2019.02.19-13:15:01 5-135-1.dcm to 5-135-1.dcm.gz 
2019.02.19-13:15:01 5-136-1.dcm to 5-136-1.dcm.gz 
2019.02.19-13:15:01 5-137-1.dcm to 5-137-1.dcm.gz 
2019.02.19-13:15:01 5-138-1.dcm to 5-138-1.dcm.gz 
2019.02.19-13:15:01 5-139-1.dcm to 5-139-1.dcm.gz 
2019.02.19-13:15:01 5-140-1.dcm to 5-140-1.dcm.gz 
2019.02.19-13:15:01 5-141-1.dcm to 5-141-1.dcm.gz 
